Transaction_Date,Category,Description,Transaction_Amount,createdAt
10/02/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/15/2025,Other,ALLEN MEDICAL AS PAYROLL                    PPD ID: 9111111101,1416.19,11/18/2025
10/16/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-4.88,11/18/2025
10/16/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-2.71,11/18/2025
10/30/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/26/2025,Other,TARGET 00011080 COMMACK NY,-41.28,11/18/2025
10/27/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/31/2025,Other,DOLLAR TREE COMMACK NY,-4.08,11/18/2025
10/16/2025,Food,COSTCO GAS #0240 COMMACK NY,-28,11/18/2025
10/06/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-5.44,11/18/2025
10/02/2025,Subscriptions,SPOTIFY P3B1CFC1FC 8777781161 NY,-5.99,11/18/2025
10/13/2025,Other,FREETAXUSA.COM 877-2699027 UT,-19.54,11/18/2025
10/29/2025,Other,ALLEN MEDICAL AS PAYROLL                    PPD ID: 9111111101,4271.67,11/18/2025
10/31/2025,Other,ATM WITHDRAWAL                       002912  10/3160 VETERA,-40,11/18/2025
10/03/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-5.44,11/18/2025
10/17/2025,Food,Too Good To Go Inc. 178-76184541 DE,-4.99,11/18/2025
10/22/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/24/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-5.44,11/18/2025
10/30/2025,Food,COSTCO GAS #0240 COMMACK NY,-26.69,11/18/2025
10/31/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-4.04,11/18/2025
10/17/2025,Subscriptions,PLANET FITNESS C IClub Fees                 PPD ID: G710602737,-15,11/18/2025
10/09/2025,Other,AMAZON.COM*NF4R82PF1 AMZN.COM/BILLWA52SWDOA9S1L,-35.91,11/18/2025
10/24/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-5.44,11/18/2025
10/09/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/24/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-4.88,11/18/2025
10/17/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-5.44,11/18/2025
10/01/2025,Other,ALLEN MEDICAL AS PAYROLL                    PPD ID: 9111111101,4337.64,11/18/2025
10/20/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/10/2025,Food,SHOPRITE COMMACK S1 COMMACK NY,-11.97,11/18/2025
10/29/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/24/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-2.71,11/18/2025
10/09/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-3.25,11/18/2025
10/19/2025,Food,COSTCO WHSE #0240 COMMACK NY,-59.96,11/18/2025
10/10/2025,Other,NORTHGATE BARBER SHOP COMMACK NY,-29,11/18/2025
10/26/2025,Other,DOLLAR TREE COMMACK NY,-5.22,11/18/2025
10/04/2025,Food,MCDONALD'S F1709 SMITHTOWN NY,-3.25,11/18/2025
10/27/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-78.6,11/18/2025
10/01/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/23/2025,Food,Too Good To Go Inc. 178-76184541 DE,-4.99,11/18/2025
10/16/2025,Other,AMAZON.COM*NM3MK6651 AMZN.COM/BILLWA42W1TWI2K6O,-25.68,11/18/2025
10/11/2025,Other,CHILI'S EAST NORTHPORT EAST NORTHPORNY,-16.3,11/18/2025
10/06/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/13/2025,Subscriptions,AMAZON PRIME*NM7I05O41 AMZN.COM/BILLWA1PJSEPV0HM0,-75.04,11/18/2025
10/15/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/18/2025,Food,COSTCO WHSE #0240 COMMACK NY,-65.39,11/18/2025
10/13/2025,Food,COSTCO WHSE #0237 MELVILLE NY,-1.63,11/18/2025
10/04/2025,Food,COSTCO GAS #0240 COMMACK NY,-27.68,11/18/2025
10/04/2025,Food,COSTCO WHSE #0240 COMMACK NY,-39.52,11/18/2025
10/20/2025,Food,MCDONALD'S F2745 FARMINGDALE NY,-3.25,11/18/2025
